notebook,zone,archived,cell_index,section,title,xlabel,ylabel,recipe,gallery_category,gallery_chart,has_fit,has_log_axis,is_grid,color_by_third_var,rendered_png_outputs
notebooks/analysis/absorption/AAARpos.ipynb,notebooks/analysis,False,8,- Red shaded region: Where Method 3 predicts BC > 0 despite Fabs = 0,Physical Constraint Check: BC = 0 when Fabs = 0\n,HIPS Fabs (Mm⁻¹),FTIR EC (μg/m³),plot+scatter,correlation,Scatterplot,False,False,False,False,1
notebooks/analysis/absorption/AAARpos.ipynb,notebooks/analysis,False,10,- Red shaded region: Where Method 3 predicts BC > 0 despite Fabs = 0,MAC Time Series by Season - {site_code}\n(Outliers Removed),Date,MAC (m²/g),scatter,correlation,Scatterplot,True,False,False,False,1
notebooks/analysis/absorption/AAARpos.ipynb,notebooks/analysis,False,11,- Red shaded region: Where Method 3 predicts BC > 0 despite Fabs = 0,Method Agreement: Aethalometer vs HIPS vs FTIR-EC - {site_code},Date,Concentration (μg/m³),plot,evolution,Timeseries,False,False,False,False,0
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,9,3. Analysis Functions,,Date,,plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,12,4. HIPS Fabs vs Aethalometer Babs Analysis,MAC Time Series by Season{title_suffix},Date,MAC (m²/g),scatter,correlation,Scatterplot,False,False,False,False,0
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,15,5. BCc vs FTIR EC Analysis,MAC Time Series by Season{title_suffix},Date,MAC (m²/g),scatter,correlation,Scatterplot,False,False,False,False,0
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,22,8.5. Fe/EC Time Series Analysis,Iron and FTIR EC Time Series,Date,Concentration (μg/m³),plot,evolution,Timeseries,False,False,True,False,1
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,27,9. Time Series Analysis,Normalized FTIR EC vs BCc Time Series,Date,Normalized Concentration,plot,evolution,Timeseries,False,False,False,False,2
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,30,9.5. Iron-Coded BCc vs FTIR EC Analysis,,,,plot+scatter,correlation,Bubble,True,False,False,True,0
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,35,9.6. Seasonal MAC Analysis,Red BCc Smoothed MAC by Ethiopian Season,Season,MAC Red Smoothed (m²/g),boxplot+scatter,correlation,Bubble,False,False,False,True,5
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,40,11. Method Agreement Analysis: Aethalometer vs HIPS vs FTIR-EC,Method Agreement: Aethalometer vs HIPS vs FTIR-EC\nTime Series Comparison,Date,Concentration (μg/m³),plot+scatter,correlation,Scatterplot,True,False,False,False,2
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,41,11. Method Agreement Analysis: Aethalometer vs HIPS vs FTIR-EC,Red Wavelength Comparison\n625nm vs 633nm (Δλ = 8nm),Aethalometer Red BCc (625nm) [μg/m³],HIPS Fabs (633nm) [Mm⁻¹],bar+plot+scatter,correlation,Scatterplot,True,False,False,False,5
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,42,11. Method Agreement Analysis: Aethalometer vs HIPS vs FTIR-EC,{wavelength} ({info[,{wavelength} Aethalometer Babs (Mm⁻¹),HIPS Fabs (Mm⁻¹),bar+plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,43,11. Method Agreement Analysis: Aethalometer vs HIPS vs FTIR-EC,Method Agreement: Aethalometer vs HIPS vs FTIR-EC\nTime Series Comparison,Date,Concentration (μg/m³),bar+plot+scatter,correlation,Scatterplot,True,False,False,False,4
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,44,11. Method Agreement Analysis: Aethalometer vs HIPS vs FTIR-EC,IR BCc vs Iron (Y-axis to 10),IR BCc (μg/m³),Iron (μg/m³),plot+scatter,correlation,Scatterplot,True,False,False,False,5
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,45,11. Method Agreement Analysis: Aethalometer vs HIPS vs FTIR-EC,IR BCc vs FTIR EC: Fe/BC Ratio Analysis\nInvestigating Slope Change Above 10 μg/m³,IR BCc Smoothed (μg/m³),FTIR EC (μg/m³),plot+scatter,correlation,Bubble,True,False,False,True,1
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,46,11. Method Agreement Analysis: Aethalometer vs HIPS vs FTIR-EC,IR BCc vs FTIR EC: Fe/BC Ratio Analysis\nInvestigating Slope Change Above 10 μg/m³,IR BCc Smoothed (μg/m³),FTIR EC (μg/m³),plot+scatter,correlation,Bubble,True,False,False,True,2
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,47,11. Method Agreement Analysis: Aethalometer vs HIPS vs FTIR-EC,IR BCc vs FTIR EC (Iron Color-Coded),IR BCc (μg/m³),FTIR EC (μg/m³),plot+scatter,correlation,Bubble,True,False,False,True,1
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,48,11. Method Agreement Analysis: Aethalometer vs HIPS vs FTIR-EC,IR BCc vs FTIR EC (Iron Color-Coded),IR BCc (μg/m³),FTIR EC (μg/m³),plot+scatter,correlation,Bubble,True,False,False,True,2
